Date,Survey.Country,Downloads.Internal,Website,STATCompiler,Spatial.Data.Repository,Mobile.App,Downloads.External
2019-04-01,Nigeria,802,670,253,108,74,545
2019-05-01,Nigeria,807,580,249,93,56,274
2019-06-01,Nigeria,727,413,189,92,51,450
2019-07-01,Nigeria,676,299,160,49,78,531
2019-08-01,Nigeria,891,521,183,101,76,459
2019-09-01,Nigeria,1049,613,194,87,61,348
2019-10-01,Nigeria,584,509,265,108,56,248
2019-11-01,Nigeria,961,0,175,93,72,841
2019-12-01,Nigeria,956,476,223,75,65,533
2020-01-01,Nigeria,997,555,224,99,77,419
2020-02-01,Nigeria,873,591,171,91,75,366
2020-03-01,Nigeria,857,706,244,108,68,543
2020-04-01,Nigeria,772,652,251,78,92,560
2020-05-01,Nigeria,1004,625,156,73,90,727
2020-06-01,Nigeria,813,399,183,81,65,580
2020-07-01,Nigeria,831,388,137,78,37,635
2020-08-01,Nigeria,572,384,223,76,0,354
2020-09-01,Nigeria,814,540,149,81,36,586
2020-10-01,Nigeria,905,555,180,93,45,748
2020-11-01,Nigeria,1136,649,180,78,53,569
2020-12-01,Nigeria,962,763,270,114,57,409
2021-01-01,Nigeria,993,447,241,0,69,491
2021-02-01,Nigeria,1483,736,354,224,78,873
2021-03-01,Nigeria,1012,1052,384,0,100,864
2021-04-01,Nigeria,1049,727,300,125,71,771
2021-05-01,Nigeria,1222,497,210,168,93,514
2021-06-01,Nigeria,805,452,210,115,0,292
2021-07-01,Nigeria,777,581,116,67,33,649
2021-08-01,Nigeria,546,327,156,82,38,363
2021-09-01,Nigeria,860,462,150,85,41,501
2021-10-01,Nigeria,908,364,0,83,72,577
2021-11-01,Nigeria,0,469,197,96,45,0
2021-12-01,Nigeria,949,487,219,119,75,511
2022-01-01,Nigeria,944,653,252,146,53,385
2022-02-01,Nigeria,1332,446,228,0,71,675
2022-03-01,Nigeria,1021,733,294,0,64,431
2022-04-01,Nigeria,873,631,280,123,79,536
2022-05-01,Nigeria,1199,490,193,85,0,804
2022-06-01,Nigeria,0,468,186,91,67,0
2022-07-01,Nigeria,763,560,151,75,66,693
2022-08-01,Nigeria,696,0,205,88,52,575
2022-09-01,Nigeria,771,582,194,116,45,474
2022-10-01,Nigeria,0,466,180,99,66,0
2022-11-01,Nigeria,765,552,164,97,57,460
2022-12-01,Nigeria,1058,652,0,100,60,541
2023-01-01,Nigeria,1067,700,177,145,67,528
2023-02-01,Nigeria,1244,715,277,145,100,469
2023-03-01,Nigeria,1144,620,184,125,82,962
2013-09-01,Ethiopia,0,199,120,43,32,0
2013-10-01,Ethiopia,616,0,78,53,39,486
2013-11-01,Ethiopia,361,197,150,58,32,177
2013-12-01,Ethiopia,0,283,139,67,39,0
2014-01-01,Ethiopia,842,595,0,64,35,526
2014-02-01,Ethiopia,619,402,181,0,0,556
2014-03-01,Ethiopia,818,335,125,0,39,372
2014-04-01,Ethiopia,752,515,130,62,40,806
2014-05-01,Ethiopia,874,204,181,59,37,585
2014-06-01,Ethiopia,540,320,116,62,35,480
2014-07-01,Ethiopia,587,304,140,54,37,256
2014-08-01,Ethiopia,471,214,0,42,50,272
2014-09-01,Ethiopia,436,309,126,49,28,220
2014-10-01,Ethiopia,502,243,105,57,35,484
2014-11-01,Ethiopia,600,332,128,71,39,293
2014-12-01,Ethiopia,657,316,94,56,48,307
2015-01-01,Ethiopia,587,464,107,82,43,255
2015-02-01,Ethiopia,710,545,159,62,54,521
2015-03-01,Ethiopia,888,459,248,89,43,447
2015-04-01,Ethiopia,785,444,176,86,51,538
2015-05-01,Ethiopia,440,445,149,60,43,309
2015-06-01,Ethiopia,492,267,122,51,34,386
2015-07-01,Ethiopia,446,256,99,59,28,397
2015-08-01,Ethiopia,328,399,128,61,29,286
2015-09-01,Ethiopia,677,321,168,75,33,645
2015-10-01,Ethiopia,819,386,120,70,45,303
2015-11-01,Ethiopia,785,448,170,54,46,546
2015-12-01,Ethiopia,592,514,169,65,33,642
2016-01-01,Ethiopia,749,329,188,89,52,330
2016-02-01,Ethiopia,526,475,180,87,41,404
2016-03-01,Ethiopia,849,456,210,89,46,491
2016-04-01,Ethiopia,725,284,164,59,41,402
2016-05-01,Ethiopia,660,312,141,65,51,572
2016-06-01,Ethiopia,608,418,134,55,47,480
2016-07-01,Ethiopia,469,285,147,45,33,215
2016-08-01,Ethiopia,0,0,98,61,34,0
2016-09-01,Ethiopia,432,317,0,48,25,336
2016-10-01,Ethiopia,542,324,104,64,28,522
2016-11-01,Ethiopia,632,376,142,83,45,515
2016-12-01,Ethiopia,600,409,214,59,44,299
2017-01-01,Ethiopia,874,255,143,98,66,635
2017-02-01,Ethiopia,658,448,152,69,39,530
2017-03-01,Ethiopia,634,344,106,69,57,437
2017-04-01,Ethiopia,771,434,139,77,57,343
2017-05-01,Ethiopia,595,297,210,73,46,401
2017-06-01,Ethiopia,615,0,144,63,32,488
2017-07-01,Ethiopia,644,0,123,55,41,593
2017-08-01,Ethiopia,607,384,87,62,27,309
2017-09-01,Ethiopia,580,258,115,57,43,282
2017-10-01,Ethiopia,571,343,223,72,47,380
2017-11-01,Ethiopia,0,352,203,87,51,0
2017-12-01,Ethiopia,867,341,142,68,62,554
2018-01-01,Ethiopia,913,455,264,64,49,435
2018-02-01,Ethiopia,897,538,212,111,60,609
2018-03-01,Ethiopia,768,528,167,85,56,554
2018-04-01,Ethiopia,694,0,0,0,58,455
2018-05-01,Ethiopia,529,299,137,71,51,250
2018-06-01,Ethiopia,596,417,144,75,29,416
2018-07-01,Ethiopia,529,258,121,69,46,497
2018-08-01,Ethiopia,489,214,91,43,34,317
2018-09-01,Ethiopia,439,304,116,53,28,181
2018-10-01,Ethiopia,627,241,182,63,38,528
2018-11-01,Ethiopia,600,421,120,58,37,394
2018-12-01,Ethiopia,0,365,100,82,48,0
2019-01-01,Ethiopia,792,553,180,86,53,414
2019-02-01,Ethiopia,616,559,162,104,48,404
2019-03-01,Ethiopia,806,535,182,91,71,533
2019-04-01,Ethiopia,837,418,206,98,63,461
2019-05-01,Ethiopia,713,427,210,56,33,292
2019-06-01,Ethiopia,581,420,137,69,49,330
2019-07-01,Ethiopia,559,233,124,62,34,491
2019-08-01,Ethiopia,909,628,153,74,52,432
2019-09-01,Ethiopia,571,477,195,97,50,451
2019-10-01,Ethiopia,700,309,238,0,45,547
2019-11-01,Ethiopia,1080,322,135,72,57,369
2019-12-01,Ethiopia,994,420,172,67,61,361
2020-01-01,Ethiopia,476,487,152,86,48,316
2020-02-01,Ethiopia,825,504,202,55,62,321
2020-03-01,Ethiopia,1136,612,162,120,53,671
2020-04-01,Ethiopia,754,401,196,70,47,502
2020-05-01,Ethiopia,0,0,181,91,42,0
2020-06-01,Ethiopia,448,453,158,69,43,307
2020-07-01,Ethiopia,656,419,153,79,37,426
2020-08-01,Ethiopia,462,262,146,71,60,348
2020-09-01,Ethiopia,475,236,117,67,45,337
2020-10-01,Ethiopia,473,297,160,66,52,419
2020-11-01,Ethiopia,624,438,178,79,42,295
2020-12-01,Ethiopia,703,492,180,77,41,428
2021-01-01,Ethiopia,749,506,223,77,54,281
2021-02-01,Ethiopia,1153,622,274,136,67,607
2021-03-01,Ethiopia,1010,688,344,120,58,1128
2021-04-01,Ethiopia,858,0,189,122,55,445
2021-05-01,Ethiopia,664,473,200,103,52,345
2021-06-01,Ethiopia,381,507,155,73,39,312
2021-07-01,Ethiopia,565,254,153,68,60,474
2021-08-01,Ethiopia,503,332,192,56,42,442
2021-09-01,Ethiopia,534,352,119,74,27,461
2021-10-01,Ethiopia,566,423,176,60,39,415
2021-11-01,Ethiopia,0,327,0,79,63,0
2021-12-01,Ethiopia,0,0,157,98,50,0
2022-01-01,Ethiopia,788,448,169,115,53,395
2022-02-01,Ethiopia,691,448,208,123,43,458
2022-03-01,Ethiopia,0,559,164,92,46,0
2022-04-01,Ethiopia,0,566,229,86,45,0
2022-05-01,Ethiopia,853,332,219,73,61,573
2022-06-01,Ethiopia,743,296,228,64,40,601
2022-07-01,Ethiopia,644,350,133,69,47,237
2022-08-01,Ethiopia,554,287,141,84,34,430
2022-09-01,Ethiopia,851,431,190,0,54,409
2022-10-01,Ethiopia,620,322,186,63,43,331
2022-11-01,Ethiopia,817,245,142,57,55,718
2022-12-01,Ethiopia,919,490,186,112,53,779
2023-01-01,Ethiopia,931,520,164,63,77,869
2023-02-01,Ethiopia,775,501,183,84,77,516
2023-03-01,Ethiopia,817,644,154,99,73,441
2013-09-01,Tanzania,435,216,67,44,31,273
2013-10-01,Tanzania,413,204,135,51,34,159
2013-11-01,Tanzania,647,197,111,52,28,571
2013-12-01,Tanzania,500,269,108,42,37,209
2014-01-01,Tanzania,502,389,158,43,29,485
2014-02-01,Tanzania,524,283,136,76,28,250
2014-03-01,Tanzania,422,354,148,54,0,263
2014-04-01,Tanzania,537,212,149,74,32,253
2014-05-01,Tanzania,688,306,121,44,31,288
2014-06-01,Tanzania,422,222,134,37,34,323
2014-07-01,Tanzania,312,215,0,55,28,274
2014-08-01,Tanzania,278,267,102,46,38,226
2014-09-01,Tanzania,458,211,113,51,29,295
2014-10-01,Tanzania,328,301,78,44,42,193
2014-11-01,Tanzania,409,300,150,58,41,254
2014-12-01,Tanzania,456,359,100,56,38,365
2015-01-01,Tanzania,533,381,181,66,53,295
2015-02-01,Tanzania,448,279,135,44,50,212
2015-03-01,Tanzania,570,379,154,77,35,332
2015-04-01,Tanzania,401,358,105,58,43,196
2015-05-01,Tanzania,482,245,133,0,35,360
2015-06-01,Tanzania,392,203,155,50,26,162
2015-07-01,Tanzania,487,297,82,45,36,421
2015-08-01,Tanzania,352,147,78,34,24,304
2015-09-01,Tanzania,551,298,117,64,37,413
2015-10-01,Tanzania,402,319,82,64,36,186
2015-11-01,Tanzania,0,254,141,68,33,0
2015-12-01,Tanzania,791,312,146,66,34,667
2016-01-01,Tanzania,854,203,153,44,40,375
2016-02-01,Tanzania,634,301,185,77,34,250
2016-03-01,Tanzania,779,277,114,56,42,750
2016-04-01,Tanzania,480,319,108,54,36,241
2016-05-01,Tanzania,682,315,84,61,30,604
2016-06-01,Tanzania,500,250,137,65,0,320
2016-07-01,Tanzania,0,239,124,64,37,0
2016-08-01,Tanzania,556,160,66,69,32,456
2016-09-01,Tanzania,438,291,114,52,28,190
2016-10-01,Tanzania,0,235,88,47,35,0
2016-11-01,Tanzania,562,247,125,56,32,226
2016-12-01,Tanzania,556,242,133,68,39,479
2017-01-01,Tanzania,0,298,0,78,50,0
2017-02-01,Tanzania,676,394,155,71,27,435
2017-03-01,Tanzania,538,367,122,55,43,271
2017-04-01,Tanzania,409,399,158,64,29,177
2017-05-01,Tanzania,419,291,145,0,45,303
2017-06-01,Tanzania,487,351,139,67,0,351
2017-07-01,Tanzania,461,185,84,44,39,310
2017-08-01,Tanzania,567,190,104,58,31,300
2017-09-01,Tanzania,448,289,98,48,33,346
2017-10-01,Tanzania,636,350,0,62,33,341
2017-11-01,Tanzania,598,288,209,74,40,500
2017-12-01,Tanzania,463,371,140,68,63,192
2018-01-01,Tanzania,650,313,166,63,52,496
2018-02-01,Tanzania,479,260,120,50,36,268
2018-03-01,Tanzania,530,530,149,62,43,467
2018-04-01,Tanzania,410,208,134,74,49,206
2018-05-01,Tanzania,479,269,0,57,58,294
2018-06-01,Tanzania,517,0,129,83,34,371
2018-07-01,Tanzania,0,287,95,56,0,0
2018-08-01,Tanzania,0,175,109,37,32,0
2018-09-01,Tanzania,400,223,112,54,27,143
2018-10-01,Tanzania,419,233,98,61,27,179
2018-11-01,Tanzania,460,260,173,54,31,452
2018-12-01,Tanzania,626,397,124,59,51,616
2019-01-01,Tanzania,580,321,122,66,41,308
2019-02-01,Tanzania,657,468,165,72,49,359
2019-03-01,Tanzania,919,368,112,74,40,479
2019-04-01,Tanzania,821,375,142,57,50,690
2019-05-01,Tanzania,477,385,121,67,42,356
2019-06-01,Tanzania,541,299,108,46,29,248
2019-07-01,Tanzania,609,230,115,69,27,608
2019-08-01,Tanzania,590,344,169,106,39,257
2019-09-01,Tanzania,581,277,111,84,40,345
2019-10-01,Tanzania,526,499,194,49,41,321
2019-11-01,Tanzania,698,482,124,60,51,428
2019-12-01,Tanzania,593,242,139,63,48,412
2020-01-01,Tanzania,647,346,113,72,36,268
2020-02-01,Tanzania,577,420,175,82,34,315
2020-03-01,Tanzania,680,300,148,66,44,338
2020-04-01,Tanzania,592,446,136,0,34,268
2020-05-01,Tanzania,636,328,171,82,44,349
2020-06-01,Tanzania,530,346,151,50,36,535
2020-07-01,Tanzania,510,275,82,66,37,417
2020-08-01,Tanzania,552,0,136,49,31,382
2020-09-01,Tanzania,281,235,106,55,42,141
2020-10-01,Tanzania,566,0,134,56,27,336
2020-11-01,Tanzania,509,323,128,73,44,359
2020-12-01,Tanzania,546,0,124,48,37,322
2021-01-01,Tanzania,684,313,130,0,52,665
2021-02-01,Tanzania,1149,552,172,115,61,865
2021-03-01,Tanzania,854,560,245,84,47,745
2021-04-01,Tanzania,668,463,190,66,51,523
2021-05-01,Tanzania,767,0,117,57,45,341
2021-06-01,Tanzania,772,306,145,67,37,620
2021-07-01,Tanzania,432,252,94,56,40,249
2021-08-01,Tanzania,428,0,136,58,32,282
2021-09-01,Tanzania,597,247,87,57,38,339
2021-10-01,Tanzania,470,0,117,52,40,452
2021-11-01,Tanzania,688,210,0,55,40,479
2021-12-01,Tanzania,602,304,141,64,40,323
2022-01-01,Tanzania,778,365,127,74,60,308
2022-02-01,Tanzania,641,400,135,95,50,551
2022-03-01,Tanzania,891,547,167,67,45,518
2022-04-01,Tanzania,688,343,142,80,43,493
2022-05-01,Tanzania,484,357,151,77,37,306
2022-06-01,Tanzania,784,322,137,57,47,400
2022-07-01,Tanzania,488,232,108,62,46,266
2022-08-01,Tanzania,496,0,125,63,30,205
2022-09-01,Tanzania,527,348,83,54,24,422
2022-10-01,Tanzania,431,252,0,54,44,391
2022-11-01,Tanzania,481,396,118,90,40,454
2022-12-01,Tanzania,556,312,172,86,46,223
2023-01-01,Tanzania,829,386,133,65,46,535
2023-02-01,Tanzania,764,421,165,73,56,830
2023-03-01,Tanzania,691,306,139,120,61,552
2013-09-01,Uganda,274,148,61,34,25,181
2013-10-01,Uganda,256,214,78,33,28,111
2013-11-01,Uganda,485,228,89,46,31,306
2013-12-01,Uganda,409,230,86,47,32,376
2014-01-01,Uganda,482,215,93,55,28,350
2014-02-01,Uganda,425,239,132,64,31,280
2014-03-01,Uganda,484,254,141,56,42,273
2014-04-01,Uganda,393,307,0,50,31,286
2014-05-01,Uganda,400,245,66,62,31,259
2014-06-01,Uganda,297,207,83,39,32,220
2014-07-01,Uganda,331,191,103,36,25,148
2014-08-01,Uganda,429,178,0,46,28,298
2014-09-01,Uganda,306,174,80,47,21,162
2014-10-01,Uganda,433,291,70,53,34,242
2014-11-01,Uganda,370,178,91,47,28,279
2014-12-01,Uganda,361,320,106,63,27,247
2015-01-01,Uganda,0,256,136,45,33,0
2015-02-01,Uganda,460,353,100,73,21,302
2015-03-01,Uganda,343,277,130,46,43,164
2015-04-01,Uganda,543,317,161,52,35,495
2015-05-01,Uganda,499,241,128,36,35,193
2015-06-01,Uganda,368,272,128,48,34,334
2015-07-01,Uganda,371,0,65,47,27,200
2015-08-01,Uganda,348,233,92,0,15,162
2015-09-01,Uganda,608,226,116,70,47,347
2015-10-01,Uganda,345,255,129,51,29,261
2015-11-01,Uganda,447,277,89,66,35,205
2015-12-01,Uganda,520,332,113,49,0,470
2016-01-01,Uganda,396,316,101,64,27,306
2016-02-01,Uganda,534,228,148,57,0,344
2016-03-01,Uganda,559,414,135,46,32,628
2016-04-01,Uganda,622,320,99,64,30,536
2016-05-01,Uganda,501,242,99,51,22,462
2016-06-01,Uganda,415,224,88,41,32,310
2016-07-01,Uganda,355,243,95,60,27,183
2016-08-01,Uganda,317,220,81,44,21,236
2016-09-01,Uganda,372,252,110,37,26,281
2016-10-01,Uganda,396,178,77,47,23,365
2016-11-01,Uganda,347,305,101,59,32,273
2016-12-01,Uganda,415,201,127,50,36,382
2017-01-01,Uganda,420,0,155,65,37,330
2017-02-01,Uganda,555,266,146,68,38,357
2017-03-01,Uganda,527,365,107,60,22,231
2017-04-01,Uganda,606,321,144,69,34,429
2017-05-01,Uganda,374,224,79,45,24,326
2017-06-01,Uganda,371,243,129,46,34,197
2017-07-01,Uganda,357,205,112,90,23,210
2017-08-01,Uganda,0,232,75,35,27,0
2017-09-01,Uganda,300,198,73,32,31,178
2017-10-01,Uganda,508,272,140,66,30,283
2017-11-01,Uganda,510,381,142,57,31,261
2017-12-01,Uganda,600,351,113,0,29,561
2018-01-01,Uganda,497,307,156,62,40,441
2018-02-01,Uganda,609,283,101,60,30,402
2018-03-01,Uganda,443,387,150,54,30,283
2018-04-01,Uganda,513,237,151,62,31,336
2018-05-01,Uganda,415,231,138,46,32,295
2018-06-01,Uganda,558,328,98,60,28,229
2018-07-01,Uganda,355,0,105,33,28,213
2018-08-01,Uganda,425,255,80,46,23,275
2018-09-01,Uganda,408,241,84,46,23,253
2018-10-01,Uganda,409,221,110,38,31,400
2018-11-01,Uganda,409,197,124,54,26,196
2018-12-01,Uganda,502,388,121,0,22,588
2019-01-01,Uganda,582,393,128,55,36,402
2019-02-01,Uganda,649,332,145,81,34,321
2019-03-01,Uganda,645,286,126,62,0,355
2019-04-01,Uganda,0,343,130,62,40,0
2019-05-01,Uganda,568,292,145,59,32,208
2019-06-01,Uganda,322,235,89,0,32,206
2019-07-01,Uganda,351,208,117,48,24,250
2019-08-01,Uganda,694,359,136,75,51,529
2019-09-01,Uganda,514,289,114,57,39,276
2019-10-01,Uganda,481,363,110,56,40,173
2019-11-01,Uganda,587,371,133,50,42,332
2019-12-01,Uganda,459,274,143,49,38,318
2020-01-01,Uganda,477,301,164,91,40,339
2020-02-01,Uganda,561,373,139,84,40,369
2020-03-01,Uganda,621,392,119,51,34,383
2020-04-01,Uganda,682,390,148,61,57,285
2020-05-01,Uganda,524,215,106,59,26,209
2020-06-01,Uganda,404,290,123,41,28,381
2020-07-01,Uganda,613,213,93,55,21,315
2020-08-01,Uganda,388,0,132,55,32,224
2020-09-01,Uganda,291,230,113,48,31,254
2020-10-01,Uganda,489,261,82,52,27,399
2020-11-01,Uganda,406,263,105,50,28,170
2020-12-01,Uganda,517,311,99,60,35,330
2021-01-01,Uganda,681,304,200,56,48,330
2021-02-01,Uganda,1059,425,201,112,55,790
2021-03-01,Uganda,890,509,167,79,44,553
2021-04-01,Uganda,615,407,174,72,36,414
2021-05-01,Uganda,0,339,90,40,32,0
2021-06-01,Uganda,614,292,140,36,26,270
2021-07-01,Uganda,0,209,112,46,41,0
