Date,Survey.Country,event_type,event_label
2022-03-04,Ghana,Data Use Activity,Data quality review workshop
2022-05-15,Ghana,MEL Training,DHS data analysis workshop
2023-03-01,Ghana,Further Analysis,Gender disparities in immunization coverage
2017-06-01,Guatemala,Further Analysis,Adolescent fertility and educational attainment
2020-11-01,Guinea,Further Analysis,Urban-rural differentials in under-5 mortality
2014-05-01,Haiti,Data Use Activity,Ministry of Health data review
2020-07-01,Haiti,Further Analysis,Contraceptive prevalence trends 2010-2020
2023-02-01,Haiti,Further Analysis,Antenatal care utilization and maternal outcomes
2015-12-01,Honduras,Dissemination,Parliamentarian briefing
2016-12-01,Honduras,Further Analysis,Adolescent fertility and educational attainment
2016-11-01,India,Data Use Activity,Sub-national data planning session
2022-03-01,India,Data Use Activity,Data quality review workshop
2018-04-01,Jordan,Further Analysis,Gender disparities in immunization coverage
2022-03-01,Jordan,MEL Training,Survey dissemination training
2014-04-01,Kenya,Further Analysis,Adolescent fertility and educational attainment
2015-04-01,Kenya,Further Analysis,Contraceptive prevalence trends 2010-2020
2015-05-09,Kenya,Data Use Activity,National stakeholder briefing
2015-06-01,Kenya,DHS Publication,2015 DHS
2015-08-24,Kenya,MEL Training,Survey dissemination training
2018-09-01,Kenya,DHS Publication,2018 DHS
2018-09-22,Kenya,Data Use Activity,Data quality review workshop
2018-10-01,Kenya,Dissemination,Regional policy dialogue
2018-10-13,Kenya,MEL Training,Advanced data analysis seminar
2018-11-12,Kenya,Data Use Activity,Sub-national data planning session
2022-03-01,Kenya,DHS Publication,2022 DHS
2022-03-05,Kenya,MEL Training,Geospatial data analysis training
2014-05-01,Liberia,Data Use Activity,Ministry of Health data review
2016-07-01,Liberia,Further Analysis,Male involvement in family planning programs
2017-01-01,Liberia,Further Analysis,Gender disparities in immunization coverage
2018-08-01,Liberia,Further Analysis,Wealth index and health service utilization
2019-09-01,Liberia,Further Analysis,Wealth index and health service utilization
2021-06-01,Liberia,Further Analysis,Contraceptive prevalence trends 2010-2020
2020-06-01,Malawi,Data Use Activity,Sub-national data planning session
2020-09-01,Malawi,MEL Training,Geospatial data analysis training
2022-07-01,Malawi,MEL Training,Advanced data analysis seminar
2014-05-01,Mali,Further Analysis,Urban-rural differentials in under-5 mortality
2015-06-01,Mali,DHS Publication,2015 DHS
2015-08-25,Mali,Data Use Activity,Survey data utilization workshop
2017-02-01,Mali,Further Analysis,Contraceptive prevalence trends 2010-2020
2018-01-01,Mali,Further Analysis,Contraceptive prevalence trends 2010-2020
2018-04-01,Mali,Further Analysis,Adolescent fertility and educational attainment
2018-05-01,Mali,Further Analysis,Adolescent fertility and educational attainment
2018-09-01,Mali,DHS Publication,2018 DHS
2018-10-05,Mali,Data Use Activity,Ministry of Health data review
2018-11-16,Mali,Data Use Activity,Data quality review workshop
2020-05-01,Mali,MEL Training,Geospatial data analysis training
2021-03-01,Mali,Further Analysis,Contraceptive prevalence trends 2010-2020
2022-02-04,Mali,Dissemination,Regional policy dialogue
2022-03-01,Mali,DHS Publication,2022 DHS
2023-02-01,Mali,Dissemination,National launch event
2014-09-01,Morocco,Further Analysis,Contraceptive prevalence trends 2010-2020
2018-07-01,Morocco,Further Analysis,Antenatal care utilization and maternal outcomes
2018-08-01,Morocco,Further Analysis,Gender disparities in immunization coverage
2018-09-01,Morocco,Further Analysis,Male involvement in family planning programs
2019-04-01,Morocco,Further Analysis,Urban-rural differentials in under-5 mortality
2020-10-01,Morocco,Data Use Activity,Ministry of Health data review
2020-10-01,Morocco,Further Analysis,Wealth index and health service utilization
2021-07-01,Morocco,Dissemination,National launch event
2014-10-01,Mozambique,Further Analysis,Contraceptive prevalence trends 2010-2020
2015-06-01,Mozambique,DHS Publication,2015 DHS
2018-09-01,Mozambique,DHS Publication,2018 DHS
2018-09-29,Mozambique,MEL Training,Advanced data analysis seminar
2022-03-01,Mozambique,DHS Publication,2022 DHS
2022-04-29,Mozambique,Dissemination,National launch event
2022-11-01,Mozambique,Further Analysis,Antenatal care utilization and maternal outcomes
2016-04-01,Myanmar,Further Analysis,Determinants of child stunting: evidence from DHS
2022-04-01,Myanmar,Further Analysis,Urban-rural differentials in under-5 mortality
2013-12-01,Nepal,Further Analysis,Male involvement in family planning programs
2014-02-01,Nepal,Further Analysis,Determinants of child stunting: evidence from DHS
2014-07-01,Nepal,Further Analysis,Antenatal care utilization and maternal outcomes
2015-03-01,Nepal,Further Analysis,Urban-rural differentials in under-5 mortality
2015-11-01,Nepal,MEL Training,Advanced data analysis seminar
2017-03-01,Nepal,Data Use Activity,Ministry of Health data review
2018-02-01,Nepal,Dissemination,National launch event
2020-03-01,Nepal,Further Analysis,Gender disparities in immunization coverage
2021-12-01,Nepal,Further Analysis,Urban-rural differentials in under-5 mortality
2013-09-01,Nigeria,Further Analysis,Male involvement in family planning programs
2014-09-01,Nigeria,Further Analysis,Gender disparities in immunization coverage
2015-02-01,Nigeria,Further Analysis,Gender disparities in immunization coverage
2015-06-01,Nigeria,DHS Publication,2015 DHS
2015-06-07,Nigeria,Dissemination,National launch event
2015-07-06,Nigeria,Data Use Activity,Results dissemination to partners
2018-09-01,Nigeria,DHS Publication,2018 DHS
2022-02-11,Nigeria,Dissemination,Academic conference presentation
2022-02-22,Nigeria,Dissemination,Parliamentarian briefing
2022-03-01,Nigeria,DHS Publication,2022 DHS
2022-03-31,Nigeria,Dissemination,Regional policy dialogue
2022-04-21,Nigeria,MEL Training,Survey dissemination training
2022-04-26,Nigeria,MEL Training,Geospatial data analysis training
2022-05-02,Nigeria,Dissemination,Academic conference presentation
2022-12-01,Nigeria,Further Analysis,Determinants of child stunting: evidence from DHS
2013-11-01,Pakistan,Dissemination,Academic conference presentation
2020-09-01,Pakistan,Further Analysis,Wealth index and health service utilization
2022-12-01,Pakistan,Dissemination,Academic conference presentation
2019-11-01,Rwanda,Dissemination,Academic conference presentation
2015-05-09,Senegal,Data Use Activity,Data quality review workshop
2015-06-01,Senegal,DHS Publication,2015 DHS
2015-08-10,Senegal,Data Use Activity,Ministry of Health data review
2018-08-07,Senegal,Dissemination,Development partner briefing
2018-08-08,Senegal,Dissemination,Academic conference presentation
2018-09-01,Senegal,DHS Publication,2018 DHS
2018-10-01,Senegal,MEL Training,Geospatial data analysis training
2022-02-01,Senegal,MEL Training,DHS data analysis workshop
2022-02-25,Senegal,Dissemination,Regional policy dialogue
2022-03-01,Senegal,DHS Publication,2022 DHS
2022-04-04,Senegal,Data Use Activity,National stakeholder briefing
2017-05-01,Sierra Leone,Data Use Activity,Sub-national data planning session
2019-10-01,Sierra Leone,Data Use Activity,Results dissemination to partners
2015-06-01,Tanzania,DHS Publication,2015 DHS
2015-07-09,Tanzania,MEL Training,Data visualization training
2015-07-16,Tanzania,Data Use Activity,Sub-national data planning session
2015-07-19,Tanzania,MEL Training,Survey dissemination training
2017-06-01,Tanzania,Further Analysis,Male involvement in family planning programs
2018-08-12,Tanzania,MEL Training,Survey dissemination training
2018-09-01,Tanzania,DHS Publication,2018 DHS
2018-09-03,Tanzania,MEL Training,DHS data analysis workshop
2018-09-11,Tanzania,MEL Training,DHS data analysis workshop
2021-06-01,Tanzania,Dissemination,Press conference and media briefing
2022-02-20,Tanzania,Dissemination,Academic conference presentation
2022-03-01,Tanzania,DHS Publication,2022 DHS
2022-03-15,Tanzania,MEL Training,DHS data analysis workshop
2022-04-30,Tanzania,Data Use Activity,Sub-national data planning session
2022-07-01,Tanzania,MEL Training,Data visualization training
2015-05-19,Uganda,Data Use Activity,National stakeholder briefing
2015-06-01,Uganda,DHS Publication,2015 DHS
2015-07-01,Uganda,Dissemination,Parliamentarian briefing
2015-08-24,Uganda,Data Use Activity,Data quality review workshop
2015-11-01,Uganda,Data Use Activity,Results dissemination to partners
2018-09-01,Uganda,DHS Publication,2018 DHS
2018-10-21,Uganda,Dissemination,Regional policy dialogue
2019-03-01,Uganda,Dissemination,Academic conference presentation
2022-03-01,Uganda,DHS Publication,2022 DHS
2022-03-15,Uganda,Dissemination,Academic conference presentation
2022-04-14,Uganda,Data Use Activity,Sub-national data planning session
2022-05-01,Uganda,Further Analysis,Contraceptive prevalence trends 2010-2020
2022-12-01,Uganda,Further Analysis,Antenatal care utilization and maternal outcomes
2013-10-01,Zambia,Dissemination,National launch event
2015-05-04,Zambia,MEL Training,DHS data analysis workshop
2015-06-01,Zambia,DHS Publication,2015 DHS
2018-09-01,Zambia,DHS Publication,2018 DHS
2019-04-01,Zambia,Further Analysis,Determinants of child stunting: evidence from DHS
2022-03-01,Zambia,DHS Publication,2022 DHS
2022-04-15,Zambia,Dissemination,Academic conference presentation
2017-12-01,Zimbabwe,MEL Training,Advanced data analysis seminar
2018-08-01,Zimbabwe,Further Analysis,Antenatal care utilization and maternal outcomes
2020-03-01,Zimbabwe,Further Analysis,Determinants of child stunting: evidence from DHS
2020-04-01,Zimbabwe,Further Analysis,Gender disparities in immunization coverage
